SubjectID,Phase,Skin Conductance (microS)_mean,Skin Conductance (microS)_std,Skin Conductance (microS)_min,Skin Conductance (microS)_max,Phasic Skin Conductance (a.u.)_mean,Phasic Skin Conductance (a.u.)_std,Phasic Skin Conductance (a.u.)_min,Phasic Skin Conductance (a.u.)_max,Tonic Skin Conductance (a.u.)_mean,Tonic Skin Conductance (a.u.)_std,Tonic Skin Conductance (a.u.)_min,Tonic Skin Conductance (a.u.)_max,Skin Conductance Phasic Driver (a.u.)_mean,Skin Conductance Phasic Driver (a.u.)_std,Skin Conductance Phasic Driver (a.u.)_min,Skin Conductance Phasic Driver (a.u.)_max,Heart Rate (bpm)_mean,Heart Rate (bpm)_std,Heart Rate (bpm)_min,Heart Rate (bpm)_max,Emotional Index (a.u.)_mean,Emotional Index (a.u.)_std,Emotional Index (a.u.)_min,Emotional Index (a.u.)_max,Sympathovagal Balance (a.u.)_mean,Sympathovagal Balance (a.u.)_std,Sympathovagal Balance (a.u.)_min,Sympathovagal Balance (a.u.)_max,Arousal,Restoration,Valence
31,Crosswalk,2.742555239520958,0.1045440807099006,2.4972,3.0259,0.153633744011976,0.1085929153760847,0.025908,0.47152,2.5889282185628746,0.0940083757769738,2.323,2.7173,0.0454447102629326,0.0924323424478196,-1.0658e-14,1.1035,88.74573274700599,5.614746948434611,77.36153,100.8412,0.2381018526122754,0.2456676327570101,-0.96254,0.99292,5.075395059880239,2.558030718283812,1.98874,12.7493,-2.0,2.0,3.0
31,Square,2.7238520331325304,0.1630326193188104,2.42,3.0853,0.2123508381024096,0.1493695584244519,0.031281,0.6994,2.5115039156626504,0.09761817547773,2.2937,2.6998,0.0620912036625178,0.1274727134639972,-1.4211e-14,1.2164,86.75640166415663,4.011128264684418,76.96057,100.0937,0.3988625451807229,0.4449663558924951,-0.99985,0.99748,6.198908162650603,1.6914766991117756,2.76884,10.3878,-2.0,2.0,2.0
31,Tram,3.7576836956521737,0.2089935679818571,3.3987,4.6176,0.3251877608695652,0.2547748483141347,0.045323,1.5438,3.432493804347826,0.1394974880141055,2.6857,3.7,0.0926307818156473,0.1828069841227274,-2.8422e-14,1.1927,88.3988674347826,6.052402243827897,75.1458,273.3318,0.5492635195652174,0.3507233445918242,-0.9971,0.99874,5.93663052173913,3.4627422049861334,1.12853,24.144,-3.0,1.0,-3.0
31,Trivulziana,3.2392802380952377,0.1093380248828515,3.0043,3.5476,0.2977374595238095,0.1662232240218488,0.034735,0.64857,2.941552976190476,0.1763743259425244,2.5427,3.1211,0.0852362186904814,0.1858664621553547,-1.4211e-14,2.2636,88.55370608333334,4.661670262074289,79.35515,100.2669,0.3852342236904762,0.381579383904638,-0.99947,0.99438,4.300072357142857,0.8810315879769983,2.56914,6.54263,-2.0,2.0,2.0
31,U3,3.002382427536232,0.2396971412590005,2.6809,3.5864,0.2055115552536232,0.179114311105846,0.017196,0.65632,2.796929981884058,0.158878456990678,2.4221,3.0612,0.0595322639257304,0.1410518707640902,-1.4211e-14,1.3157,87.55241427536231,5.507791056078233,75.87819,100.1437,0.3014346266938406,0.3106183750622812,-0.96759,0.9249,3.409731213768116,2.161001235129779,1.34326,11.215,2.0,3.0,3.0
31,U4,3.6791175,0.1776699637073081,3.2482,4.0978,0.6565580166666666,0.322516977552473,0.13534,1.3634,3.0225585,0.3042154173630126,2.4984,3.4236,0.19361266366667,0.3894970793145552,-2.8422e-14,3.5978,90.57442298333332,4.09864868343747,80.57551,97.74128,0.4398852479333333,0.2848325045896914,-0.01454,0.96751,1.7901268633333332,0.6928584830085884,0.812019,2.95187,-4.0,2.0,-4.0
34,Baseline,0.5229810992907802,0.0150861805592371,0.49423,0.56554,0.00588050589539,0.0063378523417277,-0.00071075,0.029425,0.5170966223404255,0.0132578459009579,0.49246,0.55348,0.0017949542176063,0.0051735075923435,0.0,0.044375,96.36783806737589,7.592348081138192,76.66353,115.0437,-0.1128216367907801,0.5702174514562541,-0.99971,0.99992,2.588738111702128,0.8208174282623396,1.31646,4.83933,-4.0,2.0,-3.0
34,Cafe,0.7551093904958678,0.0389338522961109,0.6248,0.83618,0.0161011837396694,0.0149184102199035,0.00029479,0.051978,0.7390023708677685,0.0364746807246157,0.61845,0.7925,0.0048205834087603,0.0118762019454062,2.3044e-07,0.19099,102.52153060433884,6.719490683560995,87.83609,126.2401,0.6465772210743802,0.6858244870230565,-0.99982,0.99996,7.9822549276859505,4.778383649269022,2.23416,48.4627,-3.0,2.0,-3.0
34,Crosswalk,0.8611446889400921,0.0599255562309285,0.72985,1.0037,0.0156927644602534,0.0251494989547761,7.6784e-05,0.14908,0.845453784562212,0.0528582157693049,0.71862,0.92917,0.004935925443508,0.0136845526340007,2.0319e-07,0.11118,102.07669353686636,4.759077664631798,89.91737,118.4778,0.6285337179665899,0.5317217285992002,-0.99999,0.99992,4.641508601958525,3.025910495295852,0.873386,16.3985,-2.0,2.0,-1.0
34,Square,0.7478191854838709,0.019453537691498,0.70471,0.77999,0.0067629171370967,0.0046134418477972,0.00054883,0.02098,0.741055870967742,0.0201925171426143,0.70098,0.77014,0.0019624760286774,0.005506925193356,3.0555e-07,0.054848,102.25915033064516,5.440467524408923,89.86732,116.7694,0.6280312016129033,0.5989793776483716,-0.99847,0.99996,5.573363733870967,3.5644739135810357,1.53739,19.2352,-2.0,3.0,-2.0
