SubjectID,Phase,Skin Conductance (microS)_mean,Skin Conductance (microS)_std,Skin Conductance (microS)_min,Skin Conductance (microS)_max,Phasic Skin Conductance (a.u.)_mean,Phasic Skin Conductance (a.u.)_std,Phasic Skin Conductance (a.u.)_min,Phasic Skin Conductance (a.u.)_max,Tonic Skin Conductance (a.u.)_mean,Tonic Skin Conductance (a.u.)_std,Tonic Skin Conductance (a.u.)_min,Tonic Skin Conductance (a.u.)_max,Skin Conductance Phasic Driver (a.u.)_mean,Skin Conductance Phasic Driver (a.u.)_std,Skin Conductance Phasic Driver (a.u.)_min,Skin Conductance Phasic Driver (a.u.)_max,Heart Rate (bpm)_mean,Heart Rate (bpm)_std,Heart Rate (bpm)_min,Heart Rate (bpm)_max,Emotional Index (a.u.)_mean,Emotional Index (a.u.)_std,Emotional Index (a.u.)_min,Emotional Index (a.u.)_max,Sympathovagal Balance (a.u.)_mean,Sympathovagal Balance (a.u.)_std,Sympathovagal Balance (a.u.)_min,Sympathovagal Balance (a.u.)_max
51,Crosswalk,0.7980218424479166,0.03230469817775104,0.75505,0.89916,0.010617610559895832,0.01105817845035503,0.00042668,0.050401,0.7873977734375001,0.028372496318651783,0.74476,0.86151,0.003160962761660156,0.008724084201924796,3.4095e-07,0.10195,66.32253537109375,2.5965180240621195,60.49923,78.72177,0.96757291015625,0.18886942086645725,-0.99995,0.99997,3.8588379427083335,2.1109495983538538,1.52023,24.21
51,Square,0.6251159516129032,0.010721698149092188,0.60496,0.65144,0.006091880387096774,0.00762182593574655,0.00016389,0.032165,0.6190211612903226,0.010198896185179681,0.5972,0.63341,0.0018121770740403228,0.006302731401075481,4.0642e-07,0.065304,65.13922308870967,2.2912289549394167,61.89569,78.78627,0.833416370967742,0.18026816346637473,0.21,0.98868,3.4837963362903226,2.36789005536445,0.869555,21.4668
51,Tram,0.6676047588582678,0.023294083905435938,0.63938,0.73751,0.006496283562992126,0.009756932931310539,0.00010653,0.045641,0.6611104773622047,0.024429090582436273,0.60033,0.72176,0.0019506445849015747,0.006781366421166641,3.2424e-07,0.078531,64.095903125,2.4147974555798903,55.3412,72.25643,0.1432069293602362,0.5247931788161929,-0.99997,1.0,2.7883804562007874,1.1595195529089573,0.924908,6.86281
51,Trivulziana,0.7146182397959183,0.012691701193965987,0.69358,0.73947,0.00707450862244898,0.008034815740237311,0.00077781,0.035224,0.7075423639455782,0.00996188625342384,0.69275,0.72903,0.0021333632976105444,0.0069604413143501956,3.9871e-07,0.0961,65.95224698979592,2.3483012868821316,61.71576,79.14632,0.9654487755102041,0.018864951540542345,0.91203,0.99713,3.183874093537415,1.577720736401667,0.722133,8.45655
51,U3,0.7610468153266332,0.05391850972283442,0.6894,0.916,0.0073010085552763825,0.005265224142496864,0.00050799,0.029734,0.753743222361809,0.052356583740238785,0.68535,0.89005,0.0020476394959798995,0.007227437810861489,4.0566e-07,0.083053,65.35720878768844,3.0341623470136754,58.63459,86.02031,0.9299505716080402,0.31353767125302584,-0.99993,0.99996,2.949501033919598,1.663154357048047,0.824738,10.466
51,U4,0.696340975433526,0.01063272941286924,0.67604,0.72717,0.0037597005924855493,0.0055791668970061065,0.00023993,0.030569,0.6925807875722543,0.010192532662863959,0.66649,0.7191,0.0011437386971531792,0.00485342675590042,4.8835e-07,0.050719,64.99998472543354,2.214653602164963,59.29666,75.00673,0.8744638945086705,0.38055030942245305,-0.99966,0.99999,3.0023379841040465,0.9567867202970882,1.50736,6.30882
55,Baseline,1.1714578467153285,0.3347713955807806,1.0531,5.889,0.4913755219890511,1.3952940775746416,-2.2151,5.7384,0.6800384563868613,1.450296859509992,-4.5118,5.6307,0.17768283968982196,0.6316837669393296,-4.2633e-14,3.8591,83.42900387773723,10.536507832737053,66.63985,110.8163,-0.0025001527737226296,0.6174049856519391,-0.99901,0.99428,6.026004361313869,2.3215648100169357,2.9156,14.8164
55,Cafe,1.3108337962962964,0.09019206926808541,1.1555,1.4899,0.02764436486111111,0.03211477560163358,0.00085378,0.15036,1.2831903549382715,0.07260266005229474,1.1541,1.381,0.008220379876575687,0.0210639640379461,-3.5527e-15,0.14566,80.77000604938272,6.985873419083317,67.9089,108.4972,-0.21645881172839507,0.6670366479646025,-0.99923,0.99916,3.3548578009259256,0.9285248442292284,1.72316,5.38167
55,Crosswalk,1.6000537388392857,0.06120674183163779,1.5161,1.7942,0.0288125578125,0.02738133078329026,0.0026621,0.16895,1.5712470424107143,0.051107921439885386,1.5052,1.713,0.009128687888427847,0.021688860402236377,-3.5527e-15,0.16717,82.47885953125,5.755686872009368,67.17636,102.6697,-0.04663564732142857,0.6521153349238129,-0.99866,0.99701,3.116362745535714,1.361164251817771,1.19473,6.88778
55,Square,1.2783671316964287,0.03647872814333406,1.2061,1.3712,0.025040129425223216,0.03725862177639819,0.00058569,0.19926,1.2533414620535714,0.04560876061541321,1.0781,1.3233,0.007551839371671269,0.02153058231447162,-1.7764e-15,0.25281,81.75425972098215,7.057758764312794,69.44018,104.9555,-0.11327135044642857,0.6113625307014572,-0.9994,0.99342,3.0130181696428573,1.009213266080369,1.56156,6.18254
55,Tram,2.4297105574324327,0.11761806928465159,2.2297,2.6916,0.052317202491554055,0.047543210709388016,0.0035087,0.26403,2.3773949746621623,0.09081691394766138,2.2259,2.5327,0.016509929288120225,0.040707836670306065,-3.5527e-15,0.45202,79.50964108952702,5.631019294108318,69.07085,104.9482,-0.3055066216216216,0.5127573935502656,-0.99984,0.9958,4.777352461993243,2.04162900331988,1.34579,12.3618
55,Trivulziana,2.2372384482758623,0.14258845383073016,2.0965,2.659,0.07682334396551724,0.062387738989019316,0.012952,0.3053,2.160411982758621,0.09629999360927155,2.0714,2.3959,0.023437275527511993,0.050846092992510195,-7.1054e-15,0.37409,81.77028475,7.20479176244731,66.78195,105.7339,-0.052740068965517244,0.683314735005457,-0.99936,0.99753,4.49934225862069,1.2357035827342662,2.66104,8.18785
55,U3,2.009449519230769,0.12862959854443481,1.8316,2.3611,0.05297263822115385,0.049077155422986796,0.0050473,0.26843,1.956474326923077,0.09607567270912902,1.7861,2.2297,0.014938749626599301,0.03488527139259446,-3.5527e-15,0.29387,81.96823957692307,6.578225600848763,68.8319,107.7714,-0.12354523076923078,0.6972784924550245,-0.99944,0.99888,5.514200173076923,2.645403126864596,3.15156,19.8906
55,U4,2.371010258152174,0.056462888283352226,2.2559,2.4863,0.07667932404891305,0.027037452400995855,0.017722,0.17012,2.2943285326086955,0.04599094109977459,2.2363,2.4204,0.023203031548953045,0.0488258369765595,-2.6645e-15,0.30054,85.53894961277175,7.05268480885615,70.66844,102.9533,0.15476938858695652,0.6434019810165096,-0.99962,0.99834,4.272829069293478,1.1562765729922635,1.92956,8.17862
56,Baseline,4.023436222627737,0.09364348808240261,3.8661,4.2895,0.05900592436131387,0.05452583274238981,0.0,0.23087,3.964438047445255,0.07495622651611644,3.8568,4.2544,0.01865426101093978,0.03956152826205683,0.0,0.32296,102.92442406021898,10.336552361209325,80.10652,134.5757,-0.0012312436040145974,0.5042082275309322,-0.99931,0.99975,4.6525931386861314,2.388039438111158,2.05185,17.5856
56,Cafe,4.861158311170213,0.06341453978671632,4.7035,5.0526,0.14374700531914894,0.09088784286003908,0.022687,0.42976,4.71743789893617,0.09933492537057624,4.3719,4.9433,0.04185017511897606,0.08704107535587803,5.347e-07,1.7362,112.74954333776596,3.603499041162189,96.83524,123.2053,0.7314112699468084,0.2330560235282012,-0.99993,0.99904,1.7879204587765958,0.3201991363178932,1.20651,2.56358
